Q/L/F,Performance(Q),Performance(L),Performance(F)
812,,75.912238%,
814,,75.859860%,
816,48.320378%,76.333022%,46.170193%
818,,74.931879%,
820,,76.227480%,
822,48.694175%,76.205928%,
824,,76.020171%,46.068304%
826,,75.153760%,
828,48.071983%,75.385565%,
830,,75.627971%,
832,,74.749050%,45.785777%
834,47.634442%,75.606947%,
836,,75.822694%,
838,,76.374245%,
840,48.141900%,76.473757%,45.984631%
842,,76.375535%,
844,,76.401562%,
846,48.556239%,76.426877%,
848,,77.247132%,46.138797%
850,,76.301415%,
852,48.203278%,76.735491%,
854,,76.614273%,
856,,76.852410%,46.022738%
858,47.227953%,76.523072%,
860,,76.217116%,
862,,75.926493%,
864,47.987061%,75.669361%,45.638848%
866,,76.018767%,
868,,76.782043%,
870,47.952409%,76.349014%,
872,,76.991685%,46.146555%
874,,76.401928%,
876,48.075272%,77.043995%,
878,,76.806670%,
880,,77.261020%,46.268038%
882,47.791193%,77.062313%,
884,,77.672342%,
886,,77.572773%,
888,48.431471%,77.658640%,45.860135%
890,,76.986172%,
892,,77.345188%,
894,48.088628%,76.678678%,
896,,76.792072%,45.870544%
898,,77.325911%,
900,48.131007%,77.736596%,
902,,77.521196%,
904,,76.980764%,45.804290%
906,48.721419%,77.063406%,
908,,77.129478%,
910,,77.481905%,
912,47.899553%,77.667694%,45.737256%
914,,77.515620%,
916,,77.834859%,
918,48.293152%,77.814191%,
920,,78.215769%,46.104297%
922,,77.961195%,
924,48.052240%,78.239881%,
926,,77.887225%,
928,,77.623347%,45.989352%
930,48.166592%,76.555824%,
932,,77.584271%,
934,,77.595835%,
936,48.574634%,78.472572%,45.736405%
938,,78.253211%,
940,,78.057831%,
942,48.382248%,77.955807%,
944,,78.281312%,45.774487%
946,,77.578118%,
948,48.275464%,78.200116%,
950,,78.168630%,
952,,78.084165%,45.902245%
954,47.959704%,77.042514%,
956,,77.908464%,
958,,77.587845%,
960,47.854218%,77.837489%,45.697689%
962,,77.706284%,
964,,78.814890%,
966,47.619194%,78.320004%,
968,,78.862796%,45.785953%
970,,77.654601%,
972,47.842348%,78.926947%,
974,,78.308852%,
976,,79.095700%,45.359232%
978,47.978637%,78.450591%,
980,,78.617426%,
